ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PODEMOS,MXH,PANALH,PESH,RSP,FXM,PAN_PRI_PRD_PESH,PAN_PRI_PRD,PAN_PRI_PESH,PAN_PRD_PESH,PRI_PRD_PESH,PAN_PRI,PAN_PRD,PAN_PESH,PRI_PRD,PRI_PESH,PRD_PESH,PT_PVEM_MORENA_PANALH,PT_PVEM_MORENA,PT_PVEM_PANALH,PT_MORENA_PANALH,PVEM_MORENA_PANALH,PT_PVEM,PT_MORENA,PT_PANALH,PVEM_MORENA,PVEM_PANALH,MORENA_PANALH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ACATLAN,12,30,620,1554,93,76,57,82,1448,132,24,646,28,59,30,1,32,1,0,0,12,4,0,1,0,0,3,5,1,0,3,2,3,0,2,4,10,4933,3,157,5093,17067,
13,HIDALGO,2,ACAXOCHITLAN,21,52,334,6074,137,327,180,163,7524,989,261,331,48,380,160,8,7,2,0,0,9,1,0,5,1,0,2,0,2,0,1,1,4,0,5,0,10,16966,3,618,17587,31283,
13,HIDALGO,3,ACTOPAN,34,79,746,6245,743,242,378,444,7984,642,431,723,355,433,249,31,104,9,4,1,43,8,1,13,10,1,24,24,4,18,3,4,43,2,6,3,25,19996,13,932,20941,46448,
13,HIDALGO,4,AGUA BLANCA DE ITURBIDE,12,18,278,1056,316,78,37,36,548,67,11,295,23,26,19,6,32,1,2,0,9,6,1,7,0,0,6,4,1,0,3,1,3,0,0,2,7,2881,5,113,2999,7426,
13,HIDALGO,5,AJACUBA,11,23,236,1348,318,129,77,57,2658,160,40,295,15,80,51,9,25,0,0,0,5,1,0,5,0,1,14,2,2,3,3,0,2,2,3,0,5,5546,5,169,5720,13813,
13,HIDALGO,6,ALFAJAYUCAN,22,34,232,1283,160,449,374,61,2922,290,34,171,99,56,0,5,29,0,0,0,9,1,0,3,2,0,6,18,0,0,0,1,32,1,7,4,2,6251,2,209,6462,15278,
13,HIDALGO,7,ALMOLOYA,13,19,108,1691,33,76,84,31,1190,83,20,99,5,897,20,1,12,0,0,0,6,0,0,0,0,0,3,0,0,2,0,0,8,0,3,1,2,4375,1,96,4472,9337,
13,HIDALGO,8,APAN,25,59,566,4183,236,155,301,130,5366,287,94,526,102,1269,360,13,70,2,1,0,23,8,0,8,1,0,20,10,2,4,1,1,14,6,12,2,7,13780,7,330,14117,35140,
13,HIDALGO,9,ATITALAQUIA,10,34,769,2683,103,430,103,671,5057,70,117,254,34,126,94,8,58,1,0,3,27,4,2,5,0,0,15,22,0,4,2,7,18,0,34,2,3,10726,3,276,11005,21326,
13,HIDALGO,10,ATLAPEXCO,16,28,287,1833,107,97,159,64,3535,212,93,401,3178,159,54,0,0,0,0,0,0,0,0,0,0,0,20,11,5,3,3,9,13,1,1,10,10,10265,4,476,10745,15175,
13,HIDALGO,11,ATOTONILCO EL GRANDE,28,47,395,3057,958,134,193,112,2712,639,111,298,41,241,214,12,32,0,0,1,21,4,0,13,1,0,2,3,0,0,1,0,11,1,6,2,6,9221,2,286,9509,24086,
13,HIDALGO,12,ATOTONILCO DE TULA,18,58,1377,2127,756,425,196,406,6406,89,92,284,59,795,143,18,148,4,0,0,28,105,4,3,0,0,22,32,1,6,5,8,24,3,21,3,5,13595,4,452,14051,36142,
13,HIDALGO,13,CALNALI,15,24,876,1193,63,47,119,256,1460,322,46,378,2496,80,22,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,5,1,2,0,11,7383,2,339,7724,12347,
13,HIDALGO,14,CARDONAL,17,29,1110,919,305,84,481,92,2612,215,101,768,33,578,68,9,14,1,0,0,9,6,0,5,0,0,7,1,0,2,1,1,22,6,0,3,4,7457,4,285,7746,14836,
13,HIDALGO,15,CUAUTEPEC DE HINOJOSA,24,71,851,4952,141,420,273,323,6791,200,65,442,66,160,233,18,51,1,0,1,41,3,0,4,0,1,32,12,9,7,19,10,37,2,14,5,20,15204,7,451,15662,44148,
13,HIDALGO,16,CHAPANTONGO,10,17,995,1423,90,735,42,111,1046,59,144,119,18,34,35,6,33,1,0,0,62,3,1,3,0,0,3,8,0,0,2,4,4,1,11,3,0,4996,3,138,5137,9935,
13,HIDALGO,17,CHAPULHUACAN,25,33,143,2064,2176,107,89,42,2746,204,52,147,49,123,0,9,28,0,1,0,11,8,0,25,1,1,5,9,2,4,3,5,8,0,1,4,11,8078,0,470,8548,17002,
13,HIDALGO,18,CHILCUAUTLA,15,25,242,1288,400,177,366,74,2814,102,29,319,21,159,46,6,9,0,0,0,2,3,0,9,0,0,18,10,2,2,1,1,16,0,6,9,3,6134,1,223,6358,13924,
13,HIDALGO,19,EL ARENAL,11,24,156,2933,120,52,211,585,1752,103,53,158,44,77,52,9,26,0,0,0,12,1,0,9,1,2,8,4,2,7,3,0,12,3,5,0,8,6408,8,193,6609,14129,
13,HIDALGO,20,ELOXOCHITLAN,7,8,11,662,780,4,24,0,113,16,2,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1636,0,38,1674,2564,
13,HIDALGO,21,EMILIANO ZAPATA,8,19,155,1661,38,62,48,55,1972,100,17,200,115,62,48,7,30,2,0,0,9,0,1,2,0,0,2,3,0,0,4,1,6,2,3,0,12,4617,1,146,4764,11419,
13,HIDALGO,22,EPAZOYUCAN,11,23,575,1568,66,98,119,106,2429,69,29,255,26,65,29,1,19,0,0,0,17,1,0,4,0,0,5,5,2,2,2,4,8,0,3,0,9,5516,0,153,5669,12181,
13,HIDALGO,23,FRANCISCO I. MADERO,17,46,186,2769,158,98,165,204,6703,655,36,1501,38,73,79,23,41,1,1,1,7,2,1,4,2,4,27,12,6,14,9,4,20,1,10,3,54,12912,2,317,13231,27793,
13,HIDALGO,24,HUASCA DE OCAMPO,19,28,1528,906,262,77,81,58,1790,95,57,156,14,29,38,4,25,2,0,1,13,12,2,2,0,0,4,3,0,1,0,0,6,0,1,0,5,5172,0,157,5329,14319,
13,HIDALGO,25,HUAUTLA,26,35,158,1522,76,365,239,90,3685,301,75,997,1495,167,43,9,10,4,0,0,7,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,9252,1,425,9678,16079,
13,HIDALGO,26,HUAZALINGO,10,19,48,2373,1818,23,81,30,1226,65,21,92,31,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,2,5911,1,250,6162,9203,
13,HIDALGO,27,HUEHUETLA,16,32,132,2076,821,239,137,60,2253,1371,53,1059,18,163,62,3,35,0,0,0,11,5,0,19,0,0,17,5,1,5,2,1,4,3,9,11,27,8602,2,402,9006,17241,
13,HIDALGO,28,HUEJUTLA DE REYES,52,163,1674,8354,641,583,883,368,17115,1309,326,2982,3708,1039,1220,57,65,10,1,3,74,15,9,19,23,4,0,0,0,0,0,0,0,0,0,0,0,40482,11,1776,42269,92496,
13,HIDALGO,29,HUICHAPAN,37,66,1236,4232,110,1241,635,342,4689,171,85,375,41,282,199,5,102,2,0,0,55,5,0,5,0,0,12,30,4,1,3,14,25,1,22,2,3,13929,0,492,14421,35726,
13,HIDALGO,30,IXMIQUILPAN,61,135,5305,7773,461,295,2582,736,10655,1332,445,1772,275,4855,677,24,52,1,0,0,57,16,1,11,0,0,54,42,17,23,9,16,104,20,10,5,28,37653,23,1766,39442,73409,
13,HIDALGO,31,JACALA DE LEDEZMA,18,23,333,1391,315,69,49,34,1941,120,20,176,3,68,0,4,35,0,0,0,6,8,0,9,1,0,6,5,1,4,4,3,4,0,4,2,13,4628,9,211,4848,9311,
13,HIDALGO,32,JALTOCAN,12,17,45,872,686,55,74,27,1794,126,39,188,294,164,44,3,7,0,0,1,4,2,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,4434,3,157,4594,7806,
13,HIDALGO,33,JUAREZ HIDALGO,4,5,10,406,475,9,8,3,302,15,8,84,1,19,7,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,2,1,1,1357,0,45,1402,2413,
13,HIDALGO,34,LA MISION,11,17,50,344,2551,51,53,52,916,93,19,83,6,55,0,6,64,1,0,0,1,13,0,32,0,1,3,1,1,0,4,3,8,1,6,2,7,4427,1,336,4764,8074,
13,HIDALGO,35,LOLOTLA,8,14,76,1674,163,53,72,94,799,109,21,120,230,37,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,5,0,4,0,4,3473,2,139,3614,6963,
13,HIDALGO,36,METEPEC,9,18,141,587,523,72,51,39,780,74,12,561,308,18,19,10,26,1,0,0,4,4,0,10,5,5,20,0,1,5,5,0,0,5,4,4,7,3301,42,133,3476,9393,
13,HIDALGO,37,METZTITLAN,26,38,226,4137,491,56,66,54,2111,138,35,201,14,62,17,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,2,3,5,2,6,2,8,7645,4,216,7865,16730,
13,HIDALGO,38,MINERAL DEL CHICO,11,16,82,1270,1028,35,28,51,943,36,22,49,17,38,16,2,31,0,0,1,2,2,0,18,0,0,0,0,1,1,2,2,5,0,1,0,4,3687,0,116,3803,7035,
13,HIDALGO,39,MINERAL DEL MONTE,12,21,192,1435,67,61,47,63,1904,230,25,212,38,28,206,3,12,0,0,0,5,0,0,0,0,0,6,1,0,0,2,1,3,1,1,0,11,4554,2,151,4707,11279,
13,HIDALGO,40,MINERAL DE LA REFORMA,76,213,4761,16356,694,724,1084,1334,25146,779,586,2716,316,583,725,51,318,4,0,2,116,6,2,12,9,3,121,76,18,16,15,14,102,15,41,8,70,56823,48,1443,58314,131151,
13,HIDALGO,41,MIXQUIAHUALA DE JUAREZ,22,59,621,4027,243,453,385,182,6249,346,86,594,166,137,217,33,66,9,0,4,21,4,0,3,0,0,27,10,1,6,6,3,31,1,12,1,16,13960,8,461,14429,33757,
13,HIDALGO,42,MOLANGO DE ESCAMILLA,15,19,129,1680,65,59,85,67,1588,175,30,368,51,31,31,0,0,0,0,0,0,0,0,0,0,0,7,5,0,1,2,0,5,1,0,3,19,4402,0,168,4570,8207,
13,HIDALGO,43,NICOLAS FLORES,19,20,1620,204,37,25,104,19,1243,49,13,28,1,46,6,1,5,0,0,0,8,8,1,0,0,0,6,6,0,0,1,0,4,1,1,0,0,3437,1,86,3524,5164,
13,HIDALGO,44,NOPALA DE VILLAGRAN,10,21,1003,1591,42,348,54,682,927,37,20,100,9,51,44,1,38,0,0,0,42,2,0,2,0,0,0,1,0,1,0,1,3,1,4,0,1,5005,1,137,5143,11733,
13,HIDALGO,45,OMITLAN DE JUAREZ,10,14,122,1649,158,61,46,37,1372,83,33,65,11,41,28,3,11,0,0,0,6,3,0,2,0,0,6,1,0,1,0,0,4,2,2,0,1,3748,0,103,3851,7381,
13,HIDALGO,46,PACULA,10,11,957,240,18,24,40,13,361,199,8,35,1,10,0,0,14,0,0,0,14,4,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,1944,0,73,2017,4098,
13,HIDALGO,47,PACHUCA DE SOTO,129,384,9551,40744,1237,1331,1539,2762,47532,1626,974,3815,522,1089,1583,167,821,6,2,2,357,25,3,61,7,3,164,199,18,65,34,19,293,9,103,18,114,116795,93,3179,120067,235598,
13,HIDALGO,48,PISAFLORES,20,28,479,3049,69,60,67,37,1612,99,46,136,7,111,0,2,31,0,0,0,31,5,0,3,0,0,2,4,1,3,0,3,5,0,3,2,7,5874,1,320,6195,13154,
13,HIDALGO,49,PROGRESO DE OBREGON,12,31,321,2924,89,88,260,93,3931,153,33,466,28,44,262,49,57,3,2,6,15,1,0,5,2,0,46,14,5,12,6,2,38,5,9,4,23,8996,5,233,9234,18576,
13,HIDALGO,50,SAN AGUSTIN METZQUITITLAN,14,18,49,1648,39,30,45,37,1730,141,29,162,27,35,20,1,7,0,0,0,4,0,0,0,0,0,2,2,1,1,2,0,3,1,1,0,3,4020,2,106,4128,7667,
13,HIDALGO,51,SAN AGUSTIN TLAXIACA,18,43,371,4217,154,132,168,171,5370,183,68,349,77,89,204,12,32,1,0,1,17,1,0,3,2,0,12,7,3,7,2,3,36,3,5,1,16,11717,7,369,12093,25145,
13,HIDALGO,52,SAN BARTOLO TUTOTEPEC,17,29,88,1888,1612,68,103,56,1399,377,42,334,106,144,58,4,29,0,1,2,3,5,0,26,1,4,10,3,2,3,3,1,3,5,2,1,2,6385,2,372,6759,13365,
13,HIDALGO,53,SAN FELIPE ORIZATLAN,24,53,1277,5725,215,210,325,346,4555,300,126,1422,127,254,44,0,0,0,0,0,0,0,0,0,0,0,17,6,12,10,7,7,6,7,13,12,53,15076,3,663,15742,28400,
13,HIDALGO,54,SAN SALVADOR,24,49,269,1909,306,96,266,105,6416,1695,74,860,110,82,69,9,25,0,0,0,12,3,1,4,0,0,6,13,3,3,1,1,20,3,11,3,34,12409,2,328,12739,26615,
13,HIDALGO,55,SANTIAGO DE ANAYA,19,27,142,1226,81,55,338,67,2639,90,26,245,306,396,29,5,8,1,0,0,3,0,0,0,1,0,7,8,0,3,1,2,23,2,4,1,4,5713,1,134,5848,13380,
13,HIDALGO,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,11,42,517,3524,164,79,128,165,4063,156,33,397,43,206,91,18,40,0,0,0,15,2,0,3,0,0,13,15,6,6,6,4,21,3,6,3,11,9738,6,252,9996,26845,
13,HIDALGO,57,SINGUILUCAN,11,22,261,1479,642,63,123,53,1461,73,18,478,19,123,45,12,13,0,0,1,11,1,0,11,0,0,1,4,1,0,1,2,5,0,2,1,6,4910,0,155,5065,12904,
13,HIDALGO,58,TASQUILLO,20,29,112,1641,165,72,141,54,3438,290,29,444,17,43,0,2,17,0,0,0,8,2,0,5,0,0,14,8,0,4,7,1,17,1,5,4,20,6561,2,183,6746,14787,
13,HIDALGO,59,TECOZAUTLA,25,49,1526,1842,147,402,311,246,2586,164,35,267,27,108,651,11,26,3,0,2,32,3,0,2,0,0,16,12,2,1,3,2,3,0,5,2,3,8440,0,266,8706,28186,
13,HIDALGO,60,TENANGO DE DORIA,14,26,100,1500,855,64,66,109,1785,285,40,248,22,122,77,2,21,0,0,0,5,6,1,11,1,0,6,5,3,0,1,1,6,1,2,2,7,5354,0,223,5577,12921,
13,HIDALGO,61,TEPEAPULCO,38,77,1150,4796,189,347,271,314,9682,987,273,807,99,383,170,9,90,1,1,0,27,3,0,4,0,0,11,19,5,12,2,9,19,1,5,2,22,19710,8,533,20251,45190,
13,HIDALGO,62,TEPEHUACAN DE GUERRERO,33,43,122,6431,319,176,155,87,1944,141,43,1745,37,139,44,0,0,0,0,0,0,0,0,0,0,0,7,6,8,3,2,7,4,10,4,17,39,11490,17,490,11997,20036,
13,HIDALGO,63,TEPEJI DEL RIO DE OCAMPO,33,105,2185,5156,348,519,723,830,13537,339,132,556,119,3054,330,13,140,2,1,4,53,5,1,16,3,0,39,43,5,5,7,13,69,1,23,1,18,28290,17,740,29047,64905,
13,HIDALGO,64,TEPETITLAN,8,16,2321,486,30,213,46,123,1310,44,10,62,6,23,47,15,66,3,1,0,47,7,2,1,0,0,5,18,3,1,3,3,8,0,17,2,3,4926,0,133,5059,8093,
13,HIDALGO,65,TETEPANGO,7,15,528,666,320,77,207,50,1682,110,16,159,12,41,10,1,13,0,1,0,4,2,0,3,0,0,3,1,0,3,1,3,7,1,2,0,3,3926,1,69,3996,9091,
13,HIDALGO,66,TEZONTEPEC DE ALDAMA,23,62,8097,1931,591,782,236,382,7397,237,90,480,54,187,177,35,134,2,2,0,108,43,2,6,0,0,57,29,4,11,16,11,30,1,46,6,25,21209,16,811,22036,37969,
13,HIDALGO,67,TIANGUISTENGO,16,23,100,1500,62,83,55,81,1158,212,44,1360,33,73,42,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,2,2,2,4,7,7,24,4862,0,265,5127,10850,
13,HIDALGO,68,TIZAYUCA,40,171,2575,8007,578,706,1099,2383,17498,448,804,1001,611,450,912,37,138,6,1,5,54,11,1,15,20,3,0,0,0,0,0,0,0,0,0,0,0,37363,52,1025,38440,107363,
13,HIDALGO,69,TLAHUELILPAN,9,22,271,1164,207,250,50,119,3044,42,333,272,9,64,24,5,39,0,0,0,8,2,1,4,1,0,17,9,0,5,5,0,7,1,12,2,8,5975,3,107,6085,13396,
13,HIDALGO,70,TLAHUILTEPA,17,20,54,1931,97,61,62,39,587,76,11,780,10,29,9,0,0,0,0,0,0,0,0,0,0,0,11,1,6,7,9,2,3,6,2,7,24,3824,0,170,3994,7319,
13,HIDALGO,71,TLANALAPA,8,16,202,1237,49,25,75,63,2006,318,109,280,9,67,28,1,18,0,0,0,1,0,0,1,1,0,5,1,0,3,0,1,10,0,3,1,7,4521,0,94,4615,8788,
13,HIDALGO,72,TLANCHINOL,26,53,5009,3489,298,161,216,116,4201,319,97,491,132,241,81,0,0,0,0,0,0,0,0,0,0,0,5,8,3,2,2,2,7,1,9,5,9,14904,6,720,15630,26198,
13,HIDALGO,73,TLAXCOAPAN,12,36,482,1858,236,437,156,448,3775,147,962,407,23,63,59,22,44,0,0,0,14,3,0,27,0,0,23,28,2,5,7,4,16,3,24,5,12,9292,3,237,9532,21879,
13,HIDALGO,74,TOLCAYUCA,8,21,316,1763,85,64,70,96,2546,81,61,189,207,26,69,16,15,0,0,0,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5616,0,143,5759,12531,
13,HIDALGO,75,TULA DE ALLENDE,52,144,2689,6720,2471,1966,527,743,19552,403,212,668,134,1347,868,152,717,51,2,4,84,48,3,55,1,1,119,185,10,23,22,13,91,8,121,12,35,40057,29,1173,41259,87870,
13,HIDALGO,76,TULANCINGO DE BRAVO,54,203,3081,12919,682,523,790,1701,20603,1970,386,2067,226,499,1047,47,224,10,0,6,149,12,3,20,3,0,108,97,14,38,18,15,107,10,60,15,80,47530,135,1503,49168,130017,
13,HIDALGO,77,VILLA DE TEZONTEPEC,7,16,132,1222,29,45,69,127,1486,48,17,256,31,34,35,4,17,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3560,0,124,3684,9392,
13,HIDALGO,78,XOCHIATIPAN,13,24,3472,1653,198,133,149,37,1250,163,53,985,50,80,18,0,0,0,0,0,0,0,0,0,0,0,20,1,3,2,2,1,0,5,1,5,18,8299,0,522,8821,13069,
13,HIDALGO,79,XOCHICOATLAN,9,13,141,939,45,53,473,32,1002,109,26,100,50,36,12,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,0,4,2,2,1,0,2,3040,0,87,3127,5640,
13,HIDALGO,80,YAHUALICA,15,35,366,6134,156,536,155,85,2234,227,85,321,1211,108,68,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,1,2,1,1,1,4,9,11718,5,585,12308,17817,
13,HIDALGO,81,ZACUALTIPAN DE ANGELES,19,49,360,2812,197,96,117,140,3850,225,146,850,43,97,86,0,0,0,0,0,0,0,0,0,0,0,17,2,0,3,3,1,4,2,8,1,26,9086,1,307,9394,27872,
13,HIDALGO,82,ZAPOTLAN DE JUAREZ,8,25,419,1836,75,84,94,359,2586,97,39,276,31,35,47,7,27,0,0,0,12,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6031,1,149,6181,16187,
13,HIDALGO,83,ZEMPOALA,17,62,825,8130,135,193,176,287,6865,317,84,1838,82,147,118,10,122,0,0,0,35,2,0,6,0,0,28,13,1,8,8,5,19,3,13,0,54,19524,9,462,19995,37275,
13,HIDALGO,84,ZIMAPAN,53,72,1685,2309,328,230,334,383,5303,421,134,502,152,138,0,6,54,0,0,0,41,6,1,4,1,0,33,36,1,13,6,4,46,2,23,6,16,12218,3,547,12768,31850,
