ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QI,PES,RSP,FXM,PAN_QI,PRI_PVEM,PVEM_PT,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERETARO,1,AMEALCO DE BONFIL,35,94,10438,9763,204,496,591,6561,176,87,189,339,347,,,,,,29191,6,1120,30317,50118,
22,QUERETARO,2,ARROYO SECO,11,23,2662,1784,45,139,110,2181,51,37,33,49,40,32,103,,,,7266,3,265,7534,11422,
22,QUERETARO,3,CADEREYTA DE MONTES,31,90,9687,6482,218,226,2089,6212,,206,,259,1341,,,,,,26720,10,1055,27785,53009,
22,QUERETARO,4,COLON,23,77,6787,9612,196,219,1240,5285,,988,558,415,1031,170,,,,,26501,10,1042,27553,47563,
22,QUERETARO,5,CORREGIDORA,62,241,44160,8936,1181,1268,3863,14411,1340,1107,947,1007,1105,,,28,1337,,80690,74,1903,82667,156115,
22,QUERETARO,6,EZEQUIEL MONTES,17,54,9738,3040,279,333,1335,3848,,401,,262,425,,,,,,19661,11,789,20461,32235,
22,QUERETARO,7,HUIMILPAN,14,52,5050,2813,352,171,2745,1233,97,112,297,673,437,,,92,,,14072,17,758,14847,30108,
22,QUERETARO,8,JALPAN DE SERRA,15,44,4666,2323,73,112,275,3281,406,228,65,131,139,92,121,,,,11912,7,728,12647,21895,
22,QUERETARO,9,LANDA DE MATAMOROS,14,32,4230,3155,42,43,119,1808,143,104,48,46,76,16,14,,,,9844,1,446,10291,16438,
22,QUERETARO,10,EL MARQUES,34,208,34786,10270,869,841,1401,18341,1417,450,822,825,1149,,,,,,71171,61,2179,73411,138737,
22,QUERETARO,11,PEDRO ESCOBEDO,24,88,12037,4538,536,560,584,6368,233,235,523,1243,1478,,,,,,28335,16,925,29276,55403,
22,QUERETARO,12,PEÃ‘AMILLER,14,31,5486,459,19,43,3403,992,20,37,60,30,23,27,41,,,,10640,2,364,11006,15007,
22,QUERETARO,13,PINAL DE AMOLES,18,42,6351,3360,478,61,157,782,142,271,62,55,164,89,104,,,,12076,2,595,12673,20101,
22,QUERETARO,14,QUERETARO,424,1273,187358,38598,4906,9268,9626,101630,2587,4086,4228,3834,6043,558,,24,936,277,373959,342,9572,383873,785595,
22,QUERETARO,15,SAN JOAQUIN,7,16,1693,296,21,22,1290,569,24,37,15,24,15,13,14,,,,4033,0,243,4276,7094,
22,QUERETARO,16,SAN JUAN DEL RIO,104,358,40749,14230,1257,2198,3630,28434,1048,1094,1689,1103,1642,,,,,,97074,98,3014,100186,218494,
22,QUERETARO,17,TEQUISQUIAPAN,30,90,9067,6012,997,839,758,8501,,924,1850,3308,603,20,,,,,32879,48,1309,34236,55519,
22,QUERETARO,18,TOLIMAN,14,40,4601,1520,244,719,663,4732,,121,,1471,465,,,,,,14536,10,639,15185,21516,
